ISOCode,Year,AnnualGasemissions
GNQ,1879,1719.6448
GNQ,1880,55907.945
GNQ,1881,288194.78
GNQ,1882,46897.85
GNQ,1883,171745.33
GNQ,1884,-85768.586
GNQ,1885,132648.6
GNQ,1886,201149.56
GNQ,1887,174340.62
GNQ,1888,618542.4
GNQ,1889,564737.25
GNQ,1890,479143.2
GNQ,1891,318849.84
GNQ,1892,171261.81
GNQ,1893,328534.25
GNQ,1894,394613.25
GNQ,1895,451364.72
GNQ,1896,443950.9
GNQ,1897,467550.22
GNQ,1898,387254.25
GNQ,1899,371167.3
GNQ,1900,529197.25
GNQ,1901,679822.56
GNQ,1902,672678.2
GNQ,1903,594711.0
GNQ,1904,889973.5
GNQ,1905,850861.5
GNQ,1906,947881.75
GNQ,1907,1153505.2
GNQ,1908,1081900.6
GNQ,1909,1380655.9
GNQ,1910,1185038.2
GNQ,1911,607653.44
GNQ,1912,751139.4
GNQ,1913,489915.47
GNQ,1914,695175.06
GNQ,1915,965063.6
GNQ,1916,1068050.0
GNQ,1917,1077655.4
GNQ,1918,1155435.1
GNQ,1919,1084843.5
GNQ,1920,1165177.8
GNQ,1921,891804.1
GNQ,1922,1001342.3
GNQ,1923,1177267.1
GNQ,1924,1219006.8
GNQ,1925,1272897.1
GNQ,1926,1226522.4
GNQ,1927,1398456.1
GNQ,1928,1059953.6
GNQ,1929,1259025.1
GNQ,1930,1530492.8
GNQ,1931,1717573.5
GNQ,1932,1545697.1
GNQ,1933,1655308.5
GNQ,1934,1715236.0
GNQ,1935,1679856.0
GNQ,1936,1614048.0
GNQ,1937,1662019.6
GNQ,1938,1716441.1
GNQ,1939,1747958.2
GNQ,1940,1779862.4
GNQ,1941,2313933.5
GNQ,1942,2143959.5
GNQ,1943,2270434.5
GNQ,1944,2166659.0
GNQ,1945,2114578.5
GNQ,1946,2313288.0
GNQ,1947,2277765.2
GNQ,1948,2149016.5
GNQ,1949,2646849.8
GNQ,1950,2615324.8
GNQ,1951,2612965.5
GNQ,1952,2984518.8
GNQ,1953,2473383.0
GNQ,1954,2698708.5
GNQ,1955,3140773.5
GNQ,1956,3046100.0
GNQ,1957,3348208.8
GNQ,1958,2647671.2
GNQ,1959,2693000.2
GNQ,1960,2043230.1
GNQ,1961,2248164.8
GNQ,1962,2420139.8
GNQ,1963,2835465.2
GNQ,1964,2208942.0
GNQ,1965,2328798.0
GNQ,1966,1755233.2
GNQ,1967,1541222.9
GNQ,1968,1409706.1
